Error_NR Error_NR_EX
6.02523498809969e-09 6.02523498809969e-09
1.20348830592849e-09 3.53367955164555e-08
9.86862105230378e-09 2.47357576782807e-07
2.71989669956202e-08 6.7139914905271e-07
5.31946604168976e-08 8.29861497740271e-13
8.78558584402386e-08 2.25555528471644e-12
1.31182709890738e-07 5.01957351458718e-12
1.83175324265653e-07 9.77661880717504e-12
2.4383374061272e-07 1.73121144209516e-11
3.13157896456071e-07 2.8542820604986e-11
3.9114759658604e-07 4.45158360283797e-11
4.77802481966213e-07 6.64095373021675e-11
5.73121998476722e-07 9.55329603593981e-11
6.77105365699432e-07 1.33325994767952e-10
7.89751545534516e-07 1.81359858675021e-10
9.11059210829433e-07 2.41335591600245e-10
2.24927544018413e-15 3.15085713702735e-10
3.27660704815365e-15 4.04573383648756e-10
4.66491204609252e-15 5.11892244496461e-10
6.50464185235843e-15 6.39266516795874e-10
8.92034287282729e-15 7.89051254105669e-10
1.20511481323541e-14 9.63731324018659e-10
1.60291608534346e-14 1.16592304556727e-09
2.10485334682951e-14 1.39837181640297e-09
2.73102125762489e-14 1.66395395893373e-09
3.50722034495886e-14 1.96567603739073e-09
4.45828491794119e-14 2.30667389481088e-09
5.61493105185681e-14 2.69021379687747e-09
7.00901727360956e-14 3.11969132593718e-09
8.68217139897587e-14 3.5986316815066e-09
1.06747528984829e-13 4.13068981075929e-09
1.30353362670189e-13 4.71964904285489e-09
1.58138922598472e-13 5.36942232237873e-09
1.90687845954944e-13 6.08405122133756e-09
2.28625315306121e-13 6.86770579215357e-09
2.72645390272793e-13 7.72468439385366e-09
3.23498385937063e-13 8.65941344803713e-09
3.82017012842757e-13 9.67644702339839e-09
4.49063988282069e-13 1.07804669419652e-08
5.2561145439838e-13 1.19762818761571e-08
6.1272826045599e-13 1.32688276106824e-08
7.11512447377975e-13 1.46631660522305e-08
8.23172215185028e-13 1.61644857227085e-08
9.49014911767122e-13 1.77781005513396e-08
1.09042770989694e-12 1.95094495137243e-08
1.24895507714829e-12 2.13640969178912e-08
1.42609655920236e-12 2.33477316741744e-08
1.62360470614656e-12 2.54661659599014e-08
1.84331194107751e-12 2.77253357595904e-08
2.08708128121914e-12 3.01312997166052e-08
2.35699729233564e-12 3.26902394301004e-08
2.65520109691976e-12 3.54084574282427e-08
2.98402710770807e-12 3.82923780246683e-08
3.3458112640656e-12 4.13485456240532e-08
3.74319459252666e-12 4.45836245069885e-08
4.17881784903512e-12 4.80043981741062e-08
4.65554517774093e-12 5.16177684303562e-08
5.17629810051046e-12 5.5430754665454e-08
5.74424506456075e-12 5.94504929720689e-08
6.3626682043381e-12 6.36842354209208e-08
7.0349878603175e-12 6.81393494115274e-08
7.76479403608031e-12 7.28233157560144e-08
8.55583967906158e-12 7.77437293619585e-08
9.41210528871247e-12 8.29082966365522e-08
1.03375946912398e-11 8.8324835613642e-08
1.1336594422432e-11 9.40012737577869e-08
1.24135290651121e-11 9.99456478883096e-08
1.35729888864368e-11 1.06166102736589e-07
1.48197889762065e-11 1.12670889240643e-07
1.61588840575828e-11 1.1946836362865e-07
1.75953403585266e-11 1.26566985936927e-07
1.91345857687833e-11 1.33975319582459e-07
2.07819669353986e-11 1.41702028034293e-07
2.25432464768926e-11 1.49755874971027e-07
2.44242733202641e-11 1.58145722367477e-07
2.64310060647914e-11 1.66880528314727e-07
2.8569686335101e-11 1.75969346217745e-07
3.08466912210372e-11 1.85421322364582e-07
