Tiempo_total_NR Tiempo_total_NR_EX tiempo_puntos_NR tiempo_puntos_NR_EX
0.3557948 0.5343185 0.3557948 0.5343185
0.7343583 0.9510628 0.3785635 0.4167443
1.164576 1.3689253 0.4302177 0.4178625
1.5601139 1.785503 0.3955379 0.4165777
1.9574108 2.2415139 0.3972969 0.4560109
2.3430399 2.6725006 0.3856291 0.4309867
2.7370558 3.1001696 0.3940159 0.427669
3.131704 3.5307822 0.3946482 0.4306126
3.5313661 3.9619067 0.3996621 0.4311245
3.9145379 4.3949136 0.3831718 0.4330069
4.3103069 4.8250422 0.395769 0.4301286
4.7078018 5.2564838 0.3974949 0.4314416
5.0973863 5.6935991 0.3895845 0.4371153
5.4798528 6.126601 0.3824665 0.4330019
5.8695863 6.5626092 0.3897335 0.4360082
6.2418451 6.9919974 0.3722588 0.4293882
6.7651123 7.4261996 0.5232672 0.4342022
7.2593585 7.8581026 0.4942462 0.431903
7.7627823 8.289575 0.5034238 0.4314724
8.2674635 8.7294265 0.5046812 0.4398515
8.7955791 9.1597044 0.5281156 0.4302779
9.3105598 9.5951384 0.5149807 0.435434
9.824982 10.0323983 0.5144222 0.4372599
10.311364 10.4645305 0.486382 0.4321322
10.824546 10.8916614 0.513182 0.4271309
11.3274476 11.3217371 0.5029016 0.4300757
11.842271 11.7510143 0.5148234 0.4292772
12.3515706 12.2087482 0.5092996 0.4577339
12.9021056 12.6694355 0.550535 0.4606873
13.4025949 13.9755459 0.5004893 1.3061104
13.9593618 14.4785551 0.5567669 0.5030092
14.4691011 14.981191 0.5097393 0.5026359
15.1734718 15.4486296 0.7043707 0.4674386
15.7156128 16.0814559 0.542141 0.6328263
16.2244824 16.6912024 0.5088696 0.6097465
16.7369518 17.337714 0.5124694 0.6465116
17.24019 17.8756641 0.5032382 0.5379501
17.7489855 18.3298649 0.5087955 0.4542008
18.2497144 18.7767181 0.5007289 0.4468532
18.7727682 19.231605 0.5230538 0.4548869
19.272129 19.8143651 0.4993608 0.5827601
19.7835803 20.2897214 0.5114513 0.4753563
20.2953612 20.7634664 0.5117809 0.473745
20.8203983 21.2152795 0.5250371 0.4518131
21.3094577 21.7391101 0.4890594 0.5238306
21.8183357 22.2873879 0.508878 0.5482778
22.3177465 22.7981706 0.4994108 0.5107827
22.828623 23.2609737 0.5108765 0.4628031
23.3450491 23.730014 0.5164261 0.4690403
23.8569515 24.232966 0.5119024 0.502952
24.3584915 24.7686902 0.50154 0.5357242
24.8627013 25.2301087 0.5042098 0.4614185
25.3919611 25.7015684 0.5292598 0.4714597
25.9266468 26.1613236 0.5346857 0.4597552
26.4846797 26.6189818 0.5580329 0.4576582
26.9952717 27.0656396 0.510592 0.4466578
27.565594 27.5590973 0.5703223 0.4934577
28.2980113 28.0197952 0.7324173 0.4606979
29.1061311 28.4900705 0.8081198 0.4702753
29.9278808 29.0365164 0.8217497 0.5464459
30.7601251 29.5417133 0.8322443 0.5051969
31.1959952 30.0140537 0.4358701 0.4723404
31.7753441 30.4707265 0.5793489 0.4566728
32.324754 31.0997982 0.5494099 0.6290717
32.8232546 31.5606441 0.4985006 0.4608459
33.2496502 32.0100942 0.4263956 0.4494501
33.662833 32.5187125 0.4131828 0.5086183
