Error_NR Error_NR_EX
3.56374645996984e-05 3.56374645996984e-05
1.1725805138293e-09 3.46366222335678e-08
9.86862105230378e-09 2.47357576804963e-07
2.71989669956202e-08 6.7139914905271e-07
5.31946604168976e-08 1.30746145133949e-06
8.78558584402386e-08 2.1555442804702e-06
1.31182709890738e-07 3.21564723929947e-06
1.83175324265653e-07 4.48776967503705e-06
2.4383374061272e-07 5.97191062620762e-06
3.13157896456071e-07 7.66806876707442e-06
3.9114759658604e-07 9.57624234553975e-06
4.77802481966213e-07 1.16964291340422e-05
5.73121998476722e-07 1.40286263644421e-05
6.77105365699432e-07 1.65728306763756e-05
7.89751545534516e-07 1.93290380563997e-05
9.11059210829433e-07 2.22972437791022e-05
1.04102671388131e-06 2.5477442348379e-05
1.17965205483258e-06 2.88696274381747e-05
1.32693284995425e-06 3.24737918294696e-05
1.48286629974374e-06 3.62899273496682e-05
1.64744915698795e-06 4.03180248102416e-05
1.82067769445785e-06 4.45580739394967e-05
2.00254767254518e-06 4.90100633177779e-05
2.19305430670513e-06 5.36739803124201e-05
2.39219223451475e-06 5.85498110048279e-05
2.59995548248743e-06 6.36375401198896e-05
2.81633743289903e-06 6.89371509538574e-05
3.04133078970329e-06 7.44486252988613e-05
3.2749275447434e-06 8.01719433608486e-05
3.51711894318456e-06 8.61070836828078e-05
3.76789544864645e-06 9.22540230594313e-05
4.02724670806132e-06 9.86127364462389e-05
4.29516151583192e-06 0.000105183196874248
4.57162777773457e-06 0.000111965375353138
4.85663247420821e-06 0.000118959240768902
5.15016162305812e-06 0.000126164759790036
5.45220024177553e-06 0.000133581896749783
5.76273230906933e-06 0.00014121061354344
6.08174072588764e-06 0.000149050869505902
6.40920727575955e-06 0.000157102621290199
6.7451125844079e-06 0.000165365822740753
7.08943607882113e-06 0.000173840424759637
7.44215594538747e-06 0.000182526375163069
7.80324908722572e-06 0.000191423618540019
8.17269108120915e-06 0.000200532096092114
8.55045613345185e-06 0.000209851745476263
8.93651703460984e-06 0.000219382500637457
9.33084511381689e-06 0.000229124291625208
9.73341019223766e-06 0.000239077044415551
1.01441805351871e-05 0.000249240680713508
1.05631228038422e-05 0.00025961511774882
1.09902020055572e-05 0.000270200268065501
1.14253814436722e-05 0.000280996039297857
1.18686226660924e-05 0.000292002333935969
1.23198854127955e-05 0.000303219049085793
1.27791275628481e-05 0.000314646076208293
1.32463050798166e-05 0.000326283300855934
1.37213719567303e-05 0.000338130602394048
1.42042801597615e-05 0.000350187853705383
1.46949795710202e-05 0.000362454920889477
1.51934179303591e-05 0.000374931662942937
1.56995407763683e-05 0.000387617931424962
1.62132913862654e-05 0.000400513570111281
1.6734610714774e-05 0.00041361841463708
1.72634373325843e-05 0.000426932292110872
1.77997073632627e-05 0.000440455020727965
1.83433544198868e-05 0.00045418640935816
1.8894309540637e-05 0.000468126257117745
